,experiment,target,lang,translator,model,tw,type,f1,support,soubor,tweet,red
2,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'llama3', 'red': 'no', 'tweet': 'no'}",ua,cs,deepl,llama3,,all,37.8,410,r_ua_cs_deepl_llama3_vanila.csv,no,no
4,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'llama3', 'red': 'no', 'tweet': 'no'}",ru,cs,deepl,llama3,,all,47.1,431,r_ru_cs_deepl_llama3_vanila.csv,no,no
3,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'llama3', 'red': 'no', 'tweet': 'no'}",ua,hu,deepl,llama3,,all,44.7,157,r_ua_hu_deepl_llama3_vanila.csv,no,no
5,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'llama3', 'red': 'no', 'tweet': 'no'}",ru,hu,deepl,llama3,,all,47.4,139,r_ru_hu_deepl_llama3_vanila.csv,no,no
6,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'llama3', 'red': 'no', 'tweet': 'no'}",ua,pl,deepl,llama3,,all,24.3,160,r_ua_pl_deepl_llama3_vanila.csv,no,no
1,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'llama3', 'red': 'no', 'tweet': 'no'}",ru,pl,deepl,llama3,,all,35.7,143,r_ru_pl_deepl_llama3_vanila.csv,no,no
